"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"place-alfcl","","Alewife Station","","42.395428","-71.142483","","",1,""
"place-andrw","","Andrew Station","","42.330154","-71.057655","","",1,""
"place-aport","","Airport Station","","42.374262","-71.030395","","",1,""
"place-aqucl","","Aquarium Station","","42.359784","-71.051652","","",1,""
"place-armnl","","Arlington Station","","42.351902","-71.070893","","",1,""
"place-asmnl","","Ashmont Station","","42.284652","-71.064489","","",1,""
"place-bbsta","","Back Bay Station","","42.34735","-71.075727","","",1,""
"place-bmmnl","","Beachmont Station","","42.39754234","-70.99231944","","",1,""
"place-bomnl","","Bowdoin Station","","42.361365","-71.062037","","",1,""
"place-brdwy","","Broadway Station","","42.342622","-71.056967","","",1,""
"place-brmnl","","Brigham Circle Station","","42.334229","-71.104609","","",1,""
"place-brntn","","Braintree Station","","42.2078543","-71.0011385","","",1,""
"place-bvmnl","","Brookline Village Station","","42.332774","-71.116296","","",1,""
"place-ccmnl","","Community College Station","","42.373622","-71.069533","","",1,""
"place-chmnl","","Charles/MGH Station","","42.361166","-71.070628","","",1,""
"place-chncl","","Chinatown Station","","42.352547","-71.062752","","",1,""
"place-clmnl","","Cleveland Circle Station","","42.336142","-71.149326","","",1,""
"place-cntsq","","Central Square Station","","42.365486","-71.103802","","",1,""
"place-coecl","","Copley Station","","42.349974","-71.077447","","",1,""
"place-davis","","Davis Station","","42.39674","-71.121815","","",1,""
"place-dwnxg","","Downtown Crossing Station","","42.355518","-71.060225","","",1,""
"place-fldcr","","Fields Corner Station","","42.300093","-71.061667","","",1,""
"place-forhl","","Forest Hills Station","","42.300523","-71.113686","","",1,""
"place-gover","","Government Center Station","","42.359705","-71.059215","","",1,""
"place-grnst","","Green St. Station","","42.310525","-71.107414","","",1,""
"place-haecl","","Haymarket Station","","42.363021","-71.05829","","",1,""
"place-harsq","","Harvard Square Station","","42.373362","-71.118956","","",1,""
"place-hsmnl","","Heath St. Station","","42.328681","-71.110559","","",1,""
"place-hymnl","","Hynes Convention Center Station","","42.347888","-71.087903","","",1,""
"place-jaksn","","Jackson Square Station","","42.323132","-71.099592","","",1,""
"place-jfkred","","JFK/UMass Station","","42.320685","-71.052391","","",1,""
"place-kencl","","Kenmore Station","","42.348949","-71.095169","","",1,""
"place-knncl","","Kendall/MIT Station","","42.36249079","-71.08617653","","",1,""
"place-lake","","Boston College Station","","42.340081","-71.166769","","",1,""
"place-lech","","Lechmere Station","","42.370772","-71.076536","","",1,""
"place-masta","","Massachusetts Ave. Station","","42.341512","-71.083423","","",1,""
"place-matt","","Mattapan Station","","42.267762","-71.092241","","",1,""
"place-mlmnl","","Malden Center Station","","42.426632","-71.07411","","",1,""
"place-mvbcl","","Maverick Station","","42.36911856","-71.03952958","","",1,""
"place-nemnl","","New England Medical Center Station","","42.349662","-71.063917","","",1,""
"place-north","","North Station","","42.365577","-71.06129","","",1,""
"place-nqncy","","North Quincy Station","","42.275275","-71.029583","","",1,""
"place-ogmnl","","Oak Grove Station","","42.43668","-71.071097","","",1,""
"place-orhte","","Orient Heights Station","","42.386867","-71.004736","","",1,""
"place-pktrm","","Park St. Station","","42.35639457","-71.0624242","","",1,""
"place-portr","","Porter Square Station","","42.3884","-71.119149","","",1,""
"place-prmnl","","Prudential Station","","42.34557","-71.081696","","",1,""
"place-qamnl","","Quincy Adams Station","","42.233391","-71.007153","","",1,""
"place-qnctr","","Quincy Center Station","","42.251809","-71.005409","","",1,""
"place-rbmnl","","Revere Beach Station","","42.40784254","-70.99253321","","",1,""
"place-rcmnl","","Roxbury Crossing Station","","42.331397","-71.095451","","",1,""
"place-river","","Riverside Station","","42.337059","-71.251742","","",1,""
"place-rsmnl","","Reservoir Station","","42.335027","-71.148952","","",1,""
"place-rugg","","Ruggles Station","","42.336377","-71.088961","","",1,""
"place-sbmnl","","Stony Brook Station","","42.317062","-71.104248","","",1,""
"place-sdmnl","","Suffolk Downs Station","","42.39050067","-70.99712259","","",1,""
"place-shmnl","","Savin Hill Station","","42.31129","-71.053331","","",1,""
"place-smmnl","","Shawmut Station","","42.29312583","-71.06573796","","",1,""
"place-spmnl","","Science Park Station","","42.366664","-71.067666","","",1,""
"place-sstat","","South Station","","42.352271","-71.055242","","",1,""
"place-state","","State St. Station","","42.358978","-71.057598","","",1,""
"place-sull","","Sullivan Station","","42.383975","-71.076994","","",1,""
"place-symcl","","Symphony Station","","42.342687","-71.085056","","",1,""
"place-welln","","Wellington Station","","42.40237","-71.077082","","",1,""
"place-wimnl","","Wood Island Station","","42.3796403","-71.02286539","","",1,""
"place-wlsta","","Wollaston Station","","42.2665139","-71.0203369","","",1,""
